Gene,Phylogeographic tree,Name of species,Position in ASM,Bootstrap mean,Least-Square distance
../datasets/small_seq.fasta,test_var1,ON129429,0_199,87.0,2.94
../datasets/small_seq.fasta,test_var2,ON129429,0_199,87.0,3.21
../datasets/small_seq.fasta,QV2M,ON129429,0_199,87.0,3.46
../datasets/small_seq.fasta,PRECTOTCORR,ON129429,0_199,87.0,1.48
../datasets/small_seq.fasta,WS10M,ON129429,0_199,87.0,2.78
../datasets/small_seq.fasta,test_var1,OM739053,100_299,100.0,2.23
../datasets/small_seq.fasta,test_var2,OM739053,100_299,100.0,2.47
../datasets/small_seq.fasta,QV2M,OM739053,100_299,100.0,3.55
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,100_299,100.0,3.44
../datasets/small_seq.fasta,WS10M,OM739053,100_299,100.0,3.61
../datasets/small_seq.fasta,test_var1,OM739053,200_399,100.0,2.23
../datasets/small_seq.fasta,test_var2,OM739053,200_399,100.0,2.47
../datasets/small_seq.fasta,QV2M,OM739053,200_399,100.0,3.55
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,200_399,100.0,3.44
../datasets/small_seq.fasta,WS10M,OM739053,200_399,100.0,3.61
../datasets/small_seq.fasta,test_var1,OM739053,300_499,100.0,2.23
../datasets/small_seq.fasta,test_var2,OM739053,300_499,100.0,2.47
../datasets/small_seq.fasta,QV2M,OM739053,300_499,100.0,3.55
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,300_499,100.0,3.44
../datasets/small_seq.fasta,WS10M,OM739053,300_499,100.0,3.61
../datasets/small_seq.fasta,test_var1,OM739053,400_599,100.0,2.2
../datasets/small_seq.fasta,test_var2,OM739053,400_599,100.0,2.43
../datasets/small_seq.fasta,QV2M,OM739053,400_599,100.0,3.5
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,400_599,100.0,3.4
../datasets/small_seq.fasta,WS10M,OM739053,400_599,100.0,3.56
../datasets/small_seq.fasta,test_var1,OM739053,500_699,77.5,2.15
../datasets/small_seq.fasta,test_var2,OM739053,500_699,77.5,2.34
../datasets/small_seq.fasta,QV2M,OM739053,500_699,77.5,3.41
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,500_699,77.5,3.34
../datasets/small_seq.fasta,WS10M,OM739053,500_699,77.5,3.47
../datasets/small_seq.fasta,test_var1,OM739053,600_799,76.0,2.1
../datasets/small_seq.fasta,test_var2,OM739053,600_799,76.0,2.27
../datasets/small_seq.fasta,QV2M,OM739053,600_799,76.0,3.2
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,600_799,76.0,3.29
../datasets/small_seq.fasta,WS10M,OM739053,600_799,76.0,3.26
../datasets/small_seq.fasta,test_var1,OM739053,700_899,78.5,2.16
../datasets/small_seq.fasta,test_var2,OM739053,700_899,78.5,2.37
../datasets/small_seq.fasta,QV2M,OM739053,700_899,78.5,3.44
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,700_899,78.5,3.35
../datasets/small_seq.fasta,WS10M,OM739053,700_899,78.5,3.5
../datasets/small_seq.fasta,test_var1,ON134852,800_999,94.5,3.74
../datasets/small_seq.fasta,test_var2,ON134852,800_999,94.5,3.39
../datasets/small_seq.fasta,QV2M,ON134852,800_999,94.5,3.68
../datasets/small_seq.fasta,PRECTOTCORR,ON134852,800_999,94.5,1.85
../datasets/small_seq.fasta,WS10M,ON134852,800_999,94.5,3.76
../datasets/small_seq.fasta,test_var1,ON134852,900_1099,92.5,3.75
../datasets/small_seq.fasta,test_var2,ON134852,900_1099,92.5,3.45
../datasets/small_seq.fasta,QV2M,ON134852,900_1099,92.5,3.74
../datasets/small_seq.fasta,PRECTOTCORR,ON134852,900_1099,92.5,1.91
../datasets/small_seq.fasta,WS10M,ON134852,900_1099,92.5,3.82
../datasets/small_seq.fasta,test_var1,OM739053,1000_1199,100.0,2.23
../datasets/small_seq.fasta,test_var2,OM739053,1000_1199,100.0,2.47
../datasets/small_seq.fasta,QV2M,OM739053,1000_1199,100.0,3.55
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,1000_1199,100.0,3.44
../datasets/small_seq.fasta,WS10M,OM739053,1000_1199,100.0,3.61
../datasets/small_seq.fasta,test_var1,OM739053,1100_1299,100.0,2.23
../datasets/small_seq.fasta,test_var2,OM739053,1100_1299,100.0,2.47
../datasets/small_seq.fasta,QV2M,OM739053,1100_1299,100.0,3.55
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,1100_1299,100.0,3.44
../datasets/small_seq.fasta,WS10M,OM739053,1100_1299,100.0,3.61
../datasets/small_seq.fasta,test_var1,OM739053,1200_1399,100.0,2.23
../datasets/small_seq.fasta,test_var2,OM739053,1200_1399,100.0,2.47
../datasets/small_seq.fasta,QV2M,OM739053,1200_1399,100.0,3.55
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,1200_1399,100.0,3.44
../datasets/small_seq.fasta,WS10M,OM739053,1200_1399,100.0,3.61
../datasets/small_seq.fasta,test_var1,OM739053,1300_1499,100.0,2.23
../datasets/small_seq.fasta,test_var2,OM739053,1300_1499,100.0,2.47
../datasets/small_seq.fasta,QV2M,OM739053,1300_1499,100.0,3.55
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,1300_1499,100.0,3.44
../datasets/small_seq.fasta,WS10M,OM739053,1300_1499,100.0,3.61
../datasets/small_seq.fasta,test_var1,OM739053,1400_1599,100.0,2.23
../datasets/small_seq.fasta,test_var2,OM739053,1400_1599,100.0,2.47
../datasets/small_seq.fasta,QV2M,OM739053,1400_1599,100.0,3.55
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,1400_1599,100.0,3.44
../datasets/small_seq.fasta,WS10M,OM739053,1400_1599,100.0,3.61
../datasets/small_seq.fasta,test_var1,OM739053,1500_1699,100.0,2.17
../datasets/small_seq.fasta,test_var2,OM739053,1500_1699,100.0,2.34
../datasets/small_seq.fasta,QV2M,OM739053,1500_1699,100.0,3.41
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,1500_1699,100.0,3.36
../datasets/small_seq.fasta,WS10M,OM739053,1500_1699,100.0,3.47
../datasets/small_seq.fasta,test_var1,ON134852,1600_1799,89.0,3.69
../datasets/small_seq.fasta,test_var2,ON134852,1600_1799,89.0,3.37
../datasets/small_seq.fasta,QV2M,ON134852,1600_1799,89.0,3.66
../datasets/small_seq.fasta,PRECTOTCORR,ON134852,1600_1799,89.0,1.84
../datasets/small_seq.fasta,WS10M,ON134852,1600_1799,89.0,3.74
../datasets/small_seq.fasta,test_var1,OM739053,1700_1899,100.0,2.23
../datasets/small_seq.fasta,test_var2,OM739053,1700_1899,100.0,2.47
../datasets/small_seq.fasta,QV2M,OM739053,1700_1899,100.0,3.54
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,1700_1899,100.0,3.44
../datasets/small_seq.fasta,WS10M,OM739053,1700_1899,100.0,3.6
../datasets/small_seq.fasta,test_var1,OM739053,1800_1999,100.0,2.23
../datasets/small_seq.fasta,test_var2,OM739053,1800_1999,100.0,2.47
../datasets/small_seq.fasta,QV2M,OM739053,1800_1999,100.0,3.55
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,1800_1999,100.0,3.44
../datasets/small_seq.fasta,WS10M,OM739053,1800_1999,100.0,3.61
../datasets/small_seq.fasta,test_var1,OM739053,1900_2099,100.0,2.23
../datasets/small_seq.fasta,test_var2,OM739053,1900_2099,100.0,2.47
../datasets/small_seq.fasta,QV2M,OM739053,1900_2099,100.0,3.55
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,1900_2099,100.0,3.44
../datasets/small_seq.fasta,WS10M,OM739053,1900_2099,100.0,3.61
../datasets/small_seq.fasta,test_var1,OM739053,2000_2199,100.0,2.23
../datasets/small_seq.fasta,test_var2,OM739053,2000_2199,100.0,2.47
../datasets/small_seq.fasta,QV2M,OM739053,2000_2199,100.0,3.55
../datasets/small_seq.fasta,PRECTOTCORR,OM739053,2000_2199,100.0,3.44
